# tof, counts, bg
2.827960088325198740e-12,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000028336444e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000028393288e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000002845013e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000002850697e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000002856382e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000002862066e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000002867750e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000002873435e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000002879119e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000002884804e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.400000000002890488e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.800000000002896172e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000002901857e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.600000000002907541e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000002913225e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.400000000002918910e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.800000000002924594e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.200000000002930278e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.600000000002935963e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000002941647e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.400000000002947331e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.800000000002953016e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.200000000002958700e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.600000000002964384e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000297007e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.040000000000297575e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.080000000000298144e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000298712e+01,0.000000000000000000e+00,5.314252701237774656e-03
1.160000000000299281e+01,0.000000000000000000e+00,6.271801423687477228e-02
1.200000000000299849e+01,0.000000000000000000e+00,2.151167629745354970e-01
1.240000000000300417e+01,3.000000000000000000e+00,5.347268403469269682e-01
1.280000000000300986e+01,4.000000000000000000e+00,1.020989574687475088e+00
1.320000000000301554e+01,6.000000000000000000e+00,1.500726758624840507e+00
1.360000000000302123e+01,3.000000000000000000e+00,2.037419228895714696e+00
1.400000000000302691e+01,1.000000000000000000e+00,2.613818524712559377e+00
1.440000000000303260e+01,5.000000000000000000e+00,3.123475689327308125e+00
1.480000000000303828e+01,5.000000000000000000e+00,3.705157622687815344e+00
1.520000000000304397e+01,4.000000000000000000e+00,4.310750017910523368e+00
1.560000000000304965e+01,6.000000000000000000e+00,4.887482229706347603e+00
1.600000000000305533e+01,3.000000000000000000e+00,5.448435515431192755e+00
1.640000000000306102e+01,6.000000000000000000e+00,6.061566618586358146e+00
1.680000000000306670e+01,1.000000000000000000e+01,6.619159548773959401e+00
1.720000000000307239e+01,9.000000000000000000e+00,7.195124638676403173e+00
1.760000000000307807e+01,1.000000000000000000e+01,7.755925378023866834e+00
1.800000000000308376e+01,1.400000000000000000e+01,8.318835417339901284e+00
1.840000000000308944e+01,1.100000000000000000e+01,8.889197589120218623e+00
1.880000000000309512e+01,1.100000000000000000e+01,9.412072169193116622e+00
1.920000000000310081e+01,1.100000000000000000e+01,1.000981945781455806e+01
1.960000000000310649e+01,1.100000000000000000e+01,1.057167670852563113e+01
2.000000000000311218e+01,9.000000000000000000e+00,1.109847518695151791e+01
2.040000000000311786e+01,1.500000000000000000e+01,1.161471671445003118e+01
2.080000000000312355e+01,1.200000000000000000e+01,1.212904276343060772e+01
2.120000000000312923e+01,8.000000000000000000e+00,1.263708853917343511e+01
2.160000000000313491e+01,2.200000000000000000e+01,1.311837180552258353e+01
2.200000000000314060e+01,1.500000000000000000e+01,1.356587823913271507e+01
2.240000000000314628e+01,2.100000000000000000e+01,1.407946757304383034e+01
2.280000000000315197e+01,2.600000000000000000e+01,1.455157505873178891e+01
2.320000000000315765e+01,2.200000000000000000e+01,1.500850144789315621e+01
2.360000000000316334e+01,5.400000000000000000e+01,1.546576931268135802e+01
2.400000000000316902e+01,7.200000000000000000e+01,1.591997988580917678e+01
2.440000000000317470e+01,2.010000000000000000e+02,1.637931152082684250e+01
2.480000000000318039e+01,4.210000000000000000e+02,1.684425542491098682e+01
2.520000000000318607e+01,7.480000000000000000e+02,1.729233412991061059e+01
2.560000000000319176e+01,1.133000000000000000e+03,1.775232690740292441e+01
2.600000000000319744e+01,1.232000000000000000e+03,1.813917012343983970e+01
2.640000000000320313e+01,1.212000000000000000e+03,1.852815676468506467e+01
2.680000000000320881e+01,9.860000000000000000e+02,1.891783394298923682e+01
2.720000000000321450e+01,6.930000000000000000e+02,1.926377340057079479e+01
2.760000000000322018e+01,4.270000000000000000e+02,1.959990711763966331e+01
2.800000000000322586e+01,2.310000000000000000e+02,1.987246405528427218e+01
2.840000000000323155e+01,1.690000000000000000e+02,2.008959944996903246e+01
2.880000000000323723e+01,1.240000000000000000e+02,2.022699909441046628e+01
2.920000000000324292e+01,1.060000000000000000e+02,2.039420806895142491e+01
2.960000000000324860e+01,1.360000000000000000e+02,2.053896705748786289e+01
3.000000000000325429e+01,1.230000000000000000e+02,2.067242211176941780e+01
3.040000000000325997e+01,1.030000000000000000e+02,2.087759524338693495e+01
3.080000000000326565e+01,1.030000000000000000e+02,2.104000329247085688e+01
3.120000000000327134e+01,1.370000000000000000e+02,2.115176946541759762e+01
