# E (keV) Intensity
23.30	  5.43E-01
23.40	  5.37E-01
23.50	  5.31E-01
23.60	  5.25E-01
23.70	  5.18E-01
23.80	  5.12E-01
23.90	  5.06E-01
24.00	  5.00E-01
24.10	  4.94E-01
24.20	  4.89E-01
24.30	  4.83E-01
24.40	  4.77E-01
24.50	  4.71E-01
24.60	  4.65E-01
24.70	  4.60E-01
24.80	  4.54E-01
24.90	  4.48E-01
25.00	  4.43E-01
25.10	  4.37E-01
25.20	  4.32E-01
25.30	  4.27E-01
25.40	  4.21E-01
25.50	  4.16E-01
25.60	  4.11E-01
25.70	  4.05E-01
25.80	  4.00E-01
25.90	  3.95E-01
26.00	  3.90E-01
26.10	  3.85E-01
26.20	  3.80E-01
26.30	  3.75E-01
26.40	  3.70E-01
26.50	  3.65E-01
26.60	  3.60E-01
26.70	  3.56E-01
26.80	  3.51E-01
26.90	  3.46E-01
27.00	  3.41E-01
27.10	  3.37E-01
27.20	  3.32E-01
27.30	  3.28E-01
27.40	  3.23E-01
27.50	  3.19E-01
27.60	  3.15E-01
27.70	  3.10E-01
27.80	  3.06E-01
27.90	  3.02E-01
28.00	  2.98E-01
28.10	  2.94E-01
28.20	  2.90E-01
28.30	  2.86E-01
28.40	  2.82E-01
28.50	  2.78E-01
28.60	  2.74E-01
28.70	  2.70E-01
28.80	  2.66E-01
28.90	  2.62E-01
29.00	  2.59E-01
29.10	  2.55E-01
29.20	  2.51E-01
29.30	  2.48E-01
29.40	  2.44E-01
29.50	  2.41E-01
29.60	  2.37E-01
29.70	  2.34E-01
29.80	  2.30E-01
29.90	  2.27E-01
30.00	  2.24E-01
30.10	  2.20E-01
30.20	  2.17E-01
30.30	  2.14E-01
30.40	  2.11E-01
30.50	  2.08E-01
30.60	  2.05E-01
30.70	  2.02E-01
30.80	  1.99E-01
30.90	  1.96E-01
31.00	  1.93E-01
31.10	  1.90E-01
31.20	  1.87E-01
31.30	  1.84E-01
31.40	  1.82E-01
31.50	  1.79E-01
31.60	  1.76E-01
31.70	  1.73E-01
31.80	  1.71E-01
31.90	  1.68E-01
32.00	  1.66E-01
32.10	  1.63E-01
32.20	  1.61E-01
32.30	  1.58E-01
32.40	  1.56E-01
32.50	  1.53E-01
32.60	  1.51E-01
32.70	  1.49E-01
32.80	  1.47E-01
32.90	  1.44E-01
33.00	  1.42E-01
33.10	  1.40E-01
33.20	  1.38E-01
33.30	  1.36E-01
33.40	  1.33E-01
33.50	  1.31E-01
33.60	  1.29E-01
33.70	  1.27E-01
33.80	  1.25E-01
33.90	  1.23E-01
34.00	  1.21E-01
34.10	  1.19E-01
34.20	  1.18E-01
34.30	  1.16E-01
34.40	  1.14E-01
34.50	  1.12E-01
34.60	  1.10E-01
34.70	  1.09E-01
34.80	  1.07E-01
34.90	  1.05E-01
35.00	  1.04E-01
35.10	  1.02E-01
35.20	  1.00E-01
35.30	  9.86E-02
35.40	  9.70E-02
35.50	  9.55E-02
35.60	  9.40E-02
35.70	  9.24E-02
35.80	  9.10E-02
35.90	  8.95E-02
36.00	  8.80E-02
36.10	  8.66E-02
36.20	  8.52E-02
36.30	  8.38E-02
36.40	  8.25E-02
36.50	  8.11E-02
36.60	  7.98E-02
36.70	  7.85E-02
36.80	  7.72E-02
36.90	  7.60E-02
37.00	  7.47E-02
37.10	  7.35E-02
37.20	  7.23E-02
37.30	  7.11E-02
37.40	  7.00E-02
37.50	  6.88E-02
37.60	  6.77E-02
37.70	  6.66E-02
37.80	  6.55E-02
37.90	  6.44E-02
38.00	  6.33E-02
38.10	  6.23E-02
38.20	  6.12E-02
38.30	  6.02E-02
38.40	  5.92E-02
38.50	  5.82E-02
38.60	  5.73E-02
38.70	  5.63E-02
38.80	  5.54E-02
38.90	  5.45E-02
39.00	  5.36E-02
39.10	  5.27E-02
39.20	  5.18E-02
39.30	  5.09E-02
39.40	  5.01E-02
39.50	  4.92E-02
39.60	  4.84E-02
39.70	  4.76E-02
39.80	  4.68E-02
39.90	  4.60E-02
40.00	  4.52E-02
40.10	  4.44E-02
40.20	  4.37E-02
40.30	  4.30E-02
40.40	  4.22E-02
40.50	  4.15E-02
40.60	  4.08E-02
40.70	  4.01E-02
40.80	  3.94E-02
40.90	  3.88E-02
41.00	  3.81E-02
41.10	  3.75E-02
41.20	  3.68E-02
41.30	  3.62E-02
41.40	  3.56E-02
41.50	  3.50E-02
41.60	  3.44E-02
41.70	  3.38E-02
41.80	  3.32E-02
41.90	  3.26E-02
42.00	  3.21E-02
42.10	  3.15E-02
42.20	  3.10E-02
42.30	  3.04E-02
42.40	  2.99E-02
42.50	  2.94E-02
42.60	  2.89E-02
42.70	  2.84E-02
42.80	  2.79E-02
42.90	  2.74E-02
43.00	  2.70E-02
43.10	  2.65E-02
43.20	  2.60E-02
43.30	  2.56E-02
43.40	  2.51E-02
43.50	  2.47E-02
43.60	  2.43E-02
43.70	  2.39E-02
43.80	  2.34E-02
43.90	  2.30E-02
44.00	  2.26E-02
44.10	  2.22E-02
44.20	  2.18E-02
44.30	  2.15E-02
44.40	  2.11E-02
44.50	  2.07E-02
44.60	  2.04E-02
44.70	  2.00E-02
44.80	  1.97E-02
44.90	  1.93E-02
45.00	  1.90E-02
45.10	  1.86E-02
45.20	  1.83E-02
45.30	  1.80E-02
45.40	  1.77E-02
45.50	  1.74E-02
45.60	  1.71E-02
45.70	  1.68E-02
