# bins, counts, background
0.00,0.0,0.0
0.40,0.0,0.0
0.80,0.0,0.0
1.20,0.0,0.0
1.60,0.0,0.0
2.00,0.0,0.0
2.40,0.0,0.0
2.80,0.0,0.0
3.20,0.0,0.0
3.60,0.0,0.0
4.00,0.0,0.0
4.40,0.0,0.0
4.80,0.0,0.0
5.20,0.0,0.0
5.60,0.0,0.0
6.00,0.0,0.0
6.40,0.0,0.0
6.80,0.0,0.0
7.20,0.0,0.0
7.60,0.0,0.0
8.00,0.0,0.0
8.40,0.0,0.0
8.80,0.0,0.0
9.20,0.0,0.0
9.60,0.0,0.0
10.00,0.0,0.0
10.40,0.0,0.0
10.80,0.0,0.0
11.20,0.0,0.00446982557287246
11.60,1.0,0.3831724331515563
12.00,1.0,2.713664262247401
12.40,11.0,7.790328323764879
12.80,16.0,16.644801059677473
13.20,31.0,27.55737523697062
13.60,45.0,38.53839089001848
14.00,53.0,50.35450846704
14.40,65.0,62.62663690791056
14.80,80.0,74.16289519340367
15.20,93.0,86.05534947331859
15.60,97.0,98.10070299619868
16.00,121.0,110.27570230388281
16.40,103.0,122.3677876129774
16.80,163.0,134.26535377250468
17.20,147.0,145.96699212937114
17.60,167.0,157.65673649164023
18.00,199.0,168.89869326503313
18.40,175.0,180.28527796009922
18.80,190.0,191.5775572943379
19.20,215.0,202.5837426001218
19.60,253.0,213.57003731302146
20.00,248.0,224.2926175899117
20.40,255.0,234.464382273318
20.80,270.0,244.49293522004643
21.20,275.0,254.33495613248544
21.60,279.0,264.0642062303522
22.00,308.0,273.2197243762752
22.40,308.0,282.48306957034544
22.80,356.0,291.47986395811614
23.20,428.0,300.32862864205117
23.60,574.0,308.8534767984673
24.00,874.0,317.5266554278048
24.40,1956.0,326.1597225540167
24.80,4051.0,334.90659280789833
25.20,7064.0,343.7516114752027
25.60,10042.0,352.4032483369036
26.00,11323.0,360.83920162442854
26.40,10819.0,368.9058986324973
26.80,8989.0,376.82412462580805
27.20,6303.0,383.9731389221338
27.60,4155.0,390.5160931603929
28.00,2639.0,396.2720014928934
28.40,1913.0,401.3674689836502
28.80,1502.0,405.4504337212544
29.20,1311.0,408.62122464770624
29.60,1289.0,411.54237830942503
30.00,1181.0,413.854229169989
30.40,1099.0,415.5837046894761
30.80,1207.0,417.422355046663
31.20,1260.0,419.63232197341773
31.60,1480.0,421.17255925598715
32.00,1751.0,422.65506048503613
32.40,2327.0,423.6065929096778
32.80,2765.0,424.42084707782226
33.20,3262.0,425.4768678974624
33.60,3580.0,426.76802692689853
34.00,3826.0,427.9994765535986
34.40,3886.0,429.00916432231884
34.80,3684.0,429.9527403898135
35.20,3651.0,430.95446701503164
35.60,3719.0,431.766985432502
36.00,3711.0,432.5445652037535
36.40,3881.0,433.2817962795461
36.80,4048.0,434.198062934123
37.20,4218.0,434.8434706684466
37.60,4278.0,435.7626220010397
38.00,4496.0,436.3875192300343
38.40,4531.0,436.8991584842873
38.80,4427.0,437.272988328813
39.20,4573.0,437.55125473024395
39.60,4580.0,438.08197143230285
40.00,4617.0,438.53692139917143
40.40,4531.0,438.572593790878
40.80,4660.0,438.80157946425925
41.20,4457.0,439.01573212849974
41.60,4482.0,438.78287347207623
42.00,4456.0,438.48451732028366
42.40,4569.0,437.98529402839455
42.80,4417.0,437.5505433741077
43.20,4397.0,436.88227687687834
43.60,4478.0,436.1134727287911
44.00,4400.0,435.15171555791795
44.40,4368.0,433.624652079648
44.80,4332.0,432.2178309574352
45.20,4319.0,430.60145027654187
45.60,4437.0,428.8141280512498
46.00,4214.0,426.77003998486174
46.40,4111.0,424.48756262636374
46.80,4119.0,421.68093642415914
47.20,3992.0,418.81384285909405
47.60,3953.0,415.7711706430325
48.00,3827.0,412.62174828389084
48.40,3851.0,409.45983183484753
48.80,3760.0,406.25987540810115
49.20,3848.0,402.7377917103631
49.60,3806.0,398.5248267702897
50.00,3738.0,394.50998213495416
50.40,3627.0,390.4716906561358
50.80,3568.0,386.2927817642598
51.20,3591.0,382.1310735354244
51.60,3509.0,378.22038431188577
52.00,3416.0,374.23566354236164
52.40,3365.0,370.1183006915255
52.80,3378.0,366.0576961175267
53.20,3177.0,361.59261175881244
53.60,3235.0,357.3002530413106
54.00,3087.0,352.9797764503979
54.40,3190.0,348.75209339501055
54.80,3097.0,344.3411224109541
55.20,3114.0,340.0672558733667
55.60,3014.0,335.81745295401913
56.00,3030.0,331.46478607835456
56.40,2980.0,327.13898542944935
56.80,3079.0,322.84629963418007
57.20,3041.0,318.5395174158582
57.60,2972.0,314.19644134640953
58.00,2970.0,309.88548345016346
58.40,2878.0,305.53541382671546
58.80,2788.0,301.080788990547
59.20,2797.0,296.7088746192663
59.60,2698.0,292.4028413008868
60.00,2661.0,288.13575342653576
60.40,2607.0,283.99907239340075
60.80,2639.0,279.8250267527297
61.20,2584.0,275.7174151166666
61.60,2683.0,271.568333633704
62.00,2576.0,267.48646838500997
62.40,2560.0,263.42901241601805
62.80,2375.0,259.4636422856706
63.20,2417.0,255.45387793869259
63.60,2390.0,251.55582492228856
64.00,2226.0,247.80643376761196
64.40,2139.0,243.95660311298897
64.80,2211.0,240.15974075016058
65.20,2150.0,236.53828227499108
65.60,2060.0,232.95971071089104
66.00,1992.0,229.2788187710838
66.40,1982.0,225.72018131972234
66.80,1830.0,222.27411564445856
67.20,1751.0,218.7962969602871
67.60,1815.0,215.28385987926967
68.00,1723.0,211.88913337247834
68.40,1703.0,208.5510000796253
68.80,1597.0,205.26140109988478
69.20,1529.0,201.99983838325318
69.60,1576.0,198.8620848101567
70.00,1517.0,195.71086723571784
70.40,1494.0,192.58640904077285
70.80,1414.0,189.42497008855108
71.20,1412.0,186.23368597830452
71.60,1359.0,183.13698323174756
72.00,1257.0,180.04378252899957
72.40,1277.0,177.04849729919667
72.80,1219.0,174.11103863358636
73.20,1142.0,171.11398421454092
73.60,1145.0,168.1656395866349
74.00,1092.0,165.2427651547761
74.40,1070.0,162.30058872404777
74.80,1009.0,159.45105847881229
75.20,938.0,156.6025525901104
75.60,948.0,153.7331338570757
76.00,932.0,150.9692822124744
76.40,861.0,148.19768905433205
76.80,877.0,145.39669510700554
77.20,848.0,142.65419432792152
77.60,736.0,139.93539435229067
78.00,728.0,137.26573944715844
78.40,728.0,134.54591661410964
78.80,673.0,131.87250748106956
79.20,615.0,129.27540019366126
79.60,642.0,126.72450732038024
80.00,597.0,124.03129792858498
80.40,601.0,121.39523881529544
80.80,609.0,118.8283808890615
81.20,548.0,116.329196732707
81.60,572.0,113.74116355753858
82.00,521.0,111.20375173396631
82.40,527.0,108.73707622945963
82.80,504.0,106.32022438052961
83.20,460.0,103.93033874285877
83.60,470.0,101.41078104778259
84.00,462.0,98.94240294037905
84.40,389.0,96.55312411391097
84.80,404.0,94.24066664745847
85.20,442.0,91.97856237553833
85.60,366.0,89.56113982615285
86.00,378.0,87.173275434844
86.40,347.0,84.83229865919883
86.80,332.0,82.5617855289517
87.20,327.0,80.33788891288357
87.60,331.0,78.17694723942071
88.00,314.0,75.93277820623351
88.40,291.0,73.74515782934692
88.80,241.0,71.62311926218779
89.20,251.0,69.51561250413103
89.60,225.0,67.46842184957491
90.00,223.0,65.48444632289325
90.40,213.0,63.517964421353106
90.80,200.0,61.49599727821658
91.20,204.0,59.52141587554726
91.60,198.0,57.594355420697276
92.00,197.0,55.72562998966678
92.40,181.0,53.89303612277622
92.80,153.0,52.10353197339827
93.20,165.0,50.36879031181897
93.60,173.0,48.614439061101166
94.00,158.0,46.87109999038158
94.40,153.0,45.18197922898042
94.80,140.0,43.54020707178876
95.20,136.0,41.93668107766983
95.60,124.0,40.38324423669574
96.00,121.0,38.87814869788482
96.40,111.0,37.39992698172204
96.80,120.0,35.964088814141775
97.20,109.0,34.52414733100564
97.60,89.0,33.11205902517567
98.00,94.0,31.7287751089607
98.40,75.0,30.389756326327163
98.80,63.0,29.093457516701566
99.20,90.0,27.836912314213755
99.60,74.0,26.61559678280572
100.00,61.0,25.433235021764965
100.40,63.0,24.288478623053567
100.80,60.0,23.17927766465523
101.20,52.0,22.09249636295157
101.60,57.0,21.07093006790067
102.00,52.0,20.082509444209737
102.40,35.0,19.12608882175594
102.80,33.0,18.197650183700496
103.20,55.0,17.296730546835803
103.60,42.0,16.425153770191443
104.00,37.0,15.581911500771398
104.40,26.0,14.766032617849252
104.80,38.0,13.966719920978852
105.20,26.0,13.188640787944516
105.60,20.0,12.436826678830094
106.00,29.0,11.710370765294973
106.40,24.0,11.05749998750599
106.80,24.0,10.511293842199223
107.20,24.0,9.979776649662385
107.60,14.0,9.465761226150057
108.00,18.0,8.968655287070854
108.40,15.0,8.487887934239993
108.80,15.0,8.022908829077599
109.20,14.0,7.570327337004119
109.60,14.0,7.130529780345028
110.00,12.0,6.705549660868925
110.40,11.0,6.294887274629309
110.80,7.0,5.898060768888454
111.20,7.0,5.5146054608589266
